City_ID,City,Lat,Lng,Max Temp,Current Description,Rain (inches),Snow (inches),Humidity,Cloudiness,Wind Speed,Country
251,nanortalik,60.1432,-45.2371,34.74,broken clouds,0.0,0.0,95,57,7.0,GL
252,zhaoqing,23.0512,112.4597,80.01,scattered clouds,0.0,0.0,99,41,7.25,CN
253,mar del plata,-38.0023,-57.5575,66.0,few clouds,0.0,0.0,72,20,8.05,AR
254,salalah,17.0151,54.0924,75.2,clear sky,0.0,0.0,69,0,2.3,OM
255,karratha,-20.7377,116.8463,92.84,clear sky,0.0,0.0,31,6,7.0,AU
256,maragogi,-9.0122,-35.2225,78.42,clear sky,0.0,0.0,74,10,8.7,BR
257,hualmay,-11.0964,-77.6139,69.1,scattered clouds,0.0,0.0,84,40,9.71,PE
258,alta floresta,-9.8756,-56.0861,70.36,overcast clouds,0.0,0.0,97,100,3.02,BR
259,neiafu,-18.65,-173.9833,86.0,broken clouds,0.0,0.0,74,75,8.05,TO
260,arman,59.7,150.1667,26.82,clear sky,0.0,0.0,59,0,7.09,RU
261,paamiut,61.994,-49.6678,36.05,light rain,0.68,0.0,89,100,26.13,GL
262,san ramon,37.7799,-121.978,75.2,clear sky,0.0,0.0,17,1,13.8,US
263,boguchany,58.3814,97.4531,29.68,overcast clouds,0.0,0.0,85,100,10.85,RU
264,port elizabeth,-33.918,25.5701,62.6,overcast clouds,0.0,0.0,82,90,5.75,ZA
265,kodiak,57.79,-152.4072,28.4,clear sky,0.0,0.0,43,1,31.07,US
266,sambava,-14.2667,50.1667,76.08,light rain,0.85,0.0,90,98,11.5,MG
267,bairiki,1.3292,172.9752,86.0,scattered clouds,0.0,0.0,70,40,14.97,KI
268,aklavik,68.2191,-135.0107,-11.2,overcast clouds,0.0,0.0,64,98,5.75,CA
269,iqaluit,63.7506,-68.5145,-18.4,clear sky,0.0,0.0,69,1,3.87,CA
270,kloulklubed,7.0419,134.2556,86.0,broken clouds,0.0,0.0,70,75,9.31,PW
271,raudeberg,61.9875,5.1352,39.0,overcast clouds,0.0,0.0,88,100,10.36,NO
272,ghanzi,-21.5667,21.7833,66.72,broken clouds,0.0,0.0,43,58,4.76,BW
273,mount isa,-20.7333,139.5,87.8,clear sky,0.0,0.0,25,0,17.27,AU
274,yakeshi,49.2833,120.7333,33.87,overcast clouds,0.0,0.0,89,99,19.91,CN
275,campbell river,50.0163,-125.2446,50.0,scattered clouds,0.0,0.0,66,40,4.61,CA
276,munster,51.9624,7.6257,39.99,broken clouds,0.0,0.0,93,75,4.61,DE
277,flagstaff,35.1981,-111.6513,55.4,broken clouds,0.0,0.0,24,75,1.77,US
278,northam,51.0333,-4.2167,42.01,clear sky,0.0,0.0,84,7,7.0,GB
279,evanston,42.0411,-87.6901,32.0,clear sky,0.0,0.0,59,1,8.05,US
280,stockton,37.9577,-121.2908,78.8,clear sky,0.0,0.0,21,1,2.93,US
281,ouadda,8.0777,22.4007,74.26,overcast clouds,0.0,0.0,40,96,3.96,CF
282,aurora,39.7294,-104.8319,57.99,few clouds,0.0,0.0,20,20,10.36,US
283,bethel,41.3712,-73.414,36.0,few clouds,0.0,0.0,71,17,3.0,US
284,erzin,36.9559,36.2,50.0,overcast clouds,0.1,0.0,89,89,3.85,TR
285,kelo,9.3086,15.8066,76.39,broken clouds,0.0,0.0,13,53,5.17,TD
286,inuvik,68.3499,-133.7218,-11.2,overcast clouds,0.0,0.0,64,97,5.75,CA
287,brazzaville,-4.2658,15.2832,77.0,few clouds,0.0,0.0,83,20,4.61,CG
288,fort nelson,58.8053,-122.7002,39.2,broken clouds,0.0,0.0,33,75,5.75,CA
289,smirnykh,49.75,142.8333,42.39,few clouds,0.0,0.0,73,23,1.7,RU
290,dhidhdhoo,6.8833,73.1,84.15,overcast clouds,0.0,0.0,75,98,12.62,MV
291,awjilah,29.1081,21.2869,52.74,clear sky,0.0,0.0,55,0,6.62,LY
292,palampur,32.1167,76.5333,62.4,clear sky,0.0,0.0,21,0,5.08,IN
